# Suggestion pairs rejected while running bin/suggest-aliases (via "/E1",
# "/O40", ...). Each line: kind <TAB> key <TAB> key. Pair order is ignored.
# These pairs are genuinely different entities; do not suggest merging them.
employer	ALAMEDA COUNTY OFFICE OF EDUCATION	ALAMEDA COUNTY
employer	ALAMEDA COUNTY DA	ALAMEDA COUNTY
employer	UNIVERSITY OF CALIFORNIA LOS ANGELES	UNIVERSITY OF CALIFORNIA
employer	UNIVERSITY OF CALIFORNIA SAN DIEGO	UNIVERSITY OF CALIFORNIA
employer	UNIVERSITY OF CALIFORNIA DAVIS	UNIVERSITY OF CALIFORNIA
employer	ALAMEDA COUNTY FIRE DEPARTMENT	ALAMEDA COUNTY
employer	UNIVERSITY OF CALIFORNIA IRVINE	UNIVERSITY OF CALIFORNIA
occupation	PRODUCT MANAGER	PROJECT MANAGER
occupation	EXECUTIVE ASSISTANT	EXECUTIVE
employer	UNIVERSITY OF CALIFORNIA MERCED	UNIVERSITY OF CALIFORNIA
employer	UNIVERSITY OF CALIFORNIA SAN FRANCISCO BENIOFF CHILDREN S HOSPITAL OAKLAND	UNIVERSITY OF CALIFORNIA
employer	MEDA	META
employer	CALIFORNIA	CALIFORNIA NURSES ASSOCIATION
employer	SFCTA	SFMTA
employer	CALIFORNIA	CALIFORNIA EDUCATION PARTNERS
employer	ALAMEDA COUNTY BOARD OF EDUCATION	ALAMEDA COUNTY
employer	ALAMEDA COUNTY WATER DIST	ALAMEDA COUNTY
employer	ALAMEDA COUNTY SHERIFF S OFFICE	ALAMEDA COUNTY
employer	ALAMEDA COUNTY SUPERIOR COURT	ALAMEDA COUNTY
employer	CALIFORNIA	CALIFORNIA TEACHERS ASSOCIATION
employer	CALIFORNIA	CALIFORNIA ENDOWMENT
occupation	EXECUTIVE	EXECUTIVE DIRECTOR
