filename,election,name,total_contributions,total_contributions_by_type,total_contributions_by_origin_with_unitemized
saleem-shakir-gilmore.json,oakland-2014-11-04,Saleem Shakir-Gilmore,17639.0,17639.0,17639.0
nicolas-heidorn.json,oakland-2014-11-04,Nicolas Heidorn,147.23,147.23,147.23
renato-almanzor.json,oakland-2014-11-04,Renato Almanzor,12093.0,12093.0,12093.0
courtney-ruby.json,oakland-2014-11-04,Courtney Ruby,164638.37,164638.37,164638.37
jean-quan.json,oakland-2014-11-04,Jean Quan,242342.31,242342.31,242342.31
william-bo-ghirardelli.json,oakland-2014-11-04,"William ""Bo"" Ghirardelli",0.0,0.0,0.0
joe-tuman.json,oakland-2014-11-04,Joe Tuman,115502.98,115502.98,115502.98
annie-campbell-washington.json,oakland-2014-11-04,Annie Campbell Washington,105077.62,105077.62,105077.62
libby-schaaf.json,oakland-2014-11-04,Libby Schaaf,334897.66,334897.66,334897.66
cheri-spigner.json,oakland-2014-11-04,Cheri Spigner,18747.83,18747.83,18747.83
ken-houston.json,oakland-2014-11-04,Ken Houston,0.0,0.0,0.0
bryan-parker.json,oakland-2014-11-04,Bryan Parker,237608.59,237608.59,237608.59
len-raphael.json,oakland-2014-11-04,Len Raphael,37784.69,37784.69,37784.69
jason-anderson.json,oakland-2014-11-04,Jason Anderson,0.0,0.0,0.0
andrew-park.json,oakland-2014-11-04,Andrew Park,67825.58,67825.58,67825.58
rebecca-kaplan.json,oakland-2014-11-04,Rebecca Kaplan,347445.36,347445.36,347445.36
paul-lim.json,oakland-2014-11-04,Paul Lim,0.0,0.0,0.0
shanthi-gonzales.json,oakland-2014-11-04,Shanthi Gonzales,65860.61,65860.61,65860.61
peter-liu.json,oakland-2014-11-04,Peter Liu,0.0,0.0,0.0
pat-mccullough.json,oakland-2014-11-04,Pat Mccullough,0.0,0.0,0.0
desley-brooks.json,oakland-2014-11-04,Desley Brooks,38429.0,38429.0,38429.0
vicente-cruz.json,oakland-2014-11-04,Vicente Cruz,0.0,0.0,0.0
