Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Line_Item,Amount_A,Amount_B,Amount_C
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,1,49517.76,49517.76,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,2,0,0,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,3,49517.76,49517.76,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,4,414.66,414.66,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,5,49932.42,49932.42,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,6,10302.06,10302.06,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,7,0,0,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,8,10302.06,10302.06,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,9,2365.45,2365.45,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,10,414.66,414.66,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,11,13082.17,13082.17,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,12,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,13,49517.76,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,14,2749,,
